#Parameters = {L=6; LDR=12; LR=12; Ltransport1=10.607733770972; Ltransport2=10.607733770972; a=20; ar=28.499; atransport1=22.782495950948; atransport2=26.47017292485; b=10; blendraduis=2.821301886583; br=12.624; btransport1=10.727352682803; btransport2=11.403084710629; d=5; dtransport1=6.5566911660216; dtransport2=9.4039177915434; psi=0.6; s=4; stransport1=4; stransport2=4; ta=16.248247942233; tb=10.676497873447; trh=1.7173139577041; wr=11.465380432449; wt=0.90803999452356}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
5.3460000000000	-0.014327157373187
5.3480000000000	-0.013517333203046
5.3500000000000	-0.012802272273305
5.3520000000000	-0.012187233365849
5.3540000000000	-0.011675892355641
5.3560000000000	-0.011270519673642
5.3580000000000	-0.010972149787484
5.3600000000000	-0.010780741159779
5.3620000000000	-0.010695325719150
5.3640000000000	-0.010714147298611
5.3660000000000	-0.010834788843798
5.3680000000000	-0.011054288451115
5.3700000000000	-0.011369244490811
5.3720000000000	-0.011775910205088
5.3740000000000	-0.012270278292097
5.3760000000000	-0.012848156037183
5.3780000000000	-0.013505231599085
5.3800000000000	-0.014237132084567
5.3820000000000	-0.015039474045274
5.3840000000000	-0.015907907027897
5.3860000000000	-0.016838150774889
5.3880000000000	-0.017826026682460
5.3900000000000	-0.018867484057579
5.3920000000000	-0.019958621710237
5.3940000000000	-0.021095705372264
5.3960000000000	-0.022275181398419
5.3980000000000	-0.023493687188277
5.4000000000000	-0.024748058701621
5.4020000000000	-0.026035335447589
5.4040000000000	-0.027352763257938
5.4060000000000	-0.028697795154005
5.4080000000000	-0.030068090574510
5.4100000000000	-0.031461513200902
5.4120000000000	-0.032876127614514
5.4140000000000	-0.034310194964140
5.4160000000000	-0.035762167830154
5.4180000000000	-0.037230684438015
5.4200000000000	-0.038714562356850
5.4220000000000	-0.040212791806791
5.4240000000000	-0.041724528680152
5.4260000000000	-0.043249087370342
5.4280000000000	-0.044785933489192
5.4300000000000	-0.046334676544462
5.4320000000000	-0.047895062632335
5.4340000000000	-0.049466967204724
5.4360000000000	-0.051050387948192
5.4380000000000	-0.052645437812942
5.4400000000000	-0.054252338223527
5.4420000000000	-0.055871412494497
5.4440000000000	-0.057503079471263
5.4460000000000	-0.059147847411508
5.4480000000000	-0.060806308120332
5.4500000000000	-0.062479131345300
5.4520000000000	-0.064167059438796
5.4540000000000	-0.065870902290711
5.4560000000000	-0.067591532531417
5.4580000000000	-0.069329881005355
5.4600000000000	-0.071086932512680
5.4620000000000	-0.072863721814574
5.4640000000000	-0.074661329898456
5.4660000000000	-0.076480880496732
5.4680000000000	-0.078323536853247
5.4700000000000	-0.080190498730072
5.4720000000000	-0.082082999647267
5.4740000000000	-0.084002304348071
5.4760000000000	-0.085949706481452
5.4780000000000	-0.087926526493492
5.4800000000000	-0.089934109720218
5.4820000000000	-0.091973824672556
5.4840000000000	-0.094047061506088
5.4860000000000	-0.096155230666985
5.4880000000000	-0.098299761706420
5.4900000000000	-0.10048210225512
5.4920000000000	-0.10270371715107
5.4940000000000	-0.10496608771254
5.4960000000000	-0.10727071114870
5.4980000000000	-0.10961910010218
5.5000000000000	-0.11201278231505
5.5020000000000	-0.11445330041338
5.5040000000000	-0.11694221180282
5.5060000000000	-0.11948108866982
5.5080000000000	-0.12207151808312
5.5100000000000	-0.12471510218910
5.5120000000000	-0.12741345849651
5.5140000000000	-0.13016822024503
5.5160000000000	-0.13298103685408
5.5180000000000	-0.13585357444558
5.5200000000000	-0.13878751643823
5.5220000000000	-0.14178456420846
5.5240000000000	-0.14484643781343
5.5260000000000	-0.14797487677470
5.5280000000000	-0.15117164091743
5.5300000000000	-0.15443851126184
5.5320000000000	-0.15777729096554
5.5340000000000	-0.16118980631207
5.5360000000000	-0.16467790774489
5.5380000000000	-0.16824347094236
5.5400000000000	-0.17188839793373
5.5420000000000	-0.17561461825165
5.5440000000000	-0.17942409012081
5.5460000000000	-0.18331880168114
5.5480000000000	-0.18730077224191
5.5500000000000	-0.19137205356687
5.5520000000000	-0.19553473118906
5.5540000000000	-0.19979092575264
5.5560000000000	-0.20414279438092
5.5580000000000	-0.20859253207043
5.5600000000000	-0.21314237310879
5.5620000000000	-0.21779459251561
5.5640000000000	-0.22255150750593
5.5660000000000	-0.22741547897480
5.5680000000000	-0.23238891300292
5.5700000000000	-0.23747426238093
5.5720000000000	-0.24267402815491
5.5740000000000	-0.24799076118843
5.5760000000000	-0.25342706374377
5.5780000000000	-0.25898559107983
5.5800000000000	-0.26466905306700
5.5820000000000	-0.27048021581910
5.5840000000000	-0.27642190333997
5.5860000000000	-0.28249699918610
5.5880000000000	-0.28870844814423
5.5900000000000	-0.29505925792281
5.5920000000000	-0.30155250085809
5.5940000000000	-0.30819131563318
5.5960000000000	-0.31497890901028
5.5980000000000	-0.32191855757555
5.6000000000000	-0.32901360949586
5.6020000000000	-0.33626748628701
5.6040000000000	-0.34368368459273
5.6060000000000	-0.35126577797445
5.6080000000000	-0.35901741871012
5.6100000000000	-0.36694233960240
5.6120000000000	-0.37504435579518
5.6140000000000	-0.38332736659730
5.6160000000000	-0.39179535731329
5.6180000000000	-0.40045240107962
5.6200000000000	-0.40930266070602
5.6220000000000	-0.41835039052047
5.6240000000000	-0.42759993821693
5.6260000000000	-0.43705574670488
5.6280000000000	-0.44672235595867
5.6300000000000	-0.45660440486655
5.6320000000000	-0.46670663307659
5.6340000000000	-0.47703388283909
5.6360000000000	-0.48759110084324
5.6380000000000	-0.49838334004654
5.6400000000000	-0.50941576149509
5.6420000000000	-0.52069363613284
5.6440000000000	-0.53222234659781
5.6460000000000	-0.54400738900295
5.6480000000000	-0.55605437469964
5.6500000000000	-0.56836903202103
5.6520000000000	-0.58095720800314
5.6540000000000	-0.59382487008070
5.6560000000000	-0.60697810775515
5.6580000000000	-0.62042313423160
5.6600000000000	-0.63416628802230
5.6620000000000	-0.64821403451259
5.6640000000000	-0.66257296748649
5.6660000000000	-0.67724981060873
5.6680000000000	-0.69225141885876
5.6700000000000	-0.70758477991389
5.6720000000000	-0.72325701547702
5.6740000000000	-0.73927538254520
5.6760000000000	-0.75564727461503
5.6780000000000	-0.77238022282029
5.6800000000000	-0.78948189699736
5.6820000000000	-0.80696010667431
5.6840000000000	-0.82482280197854
5.6860000000000	-0.84307807445855
5.6880000000000	-0.86173415781444
5.6900000000000	-0.88079942853291
5.6920000000000	-0.90028240642097
5.6940000000000	-0.92019175503377
5.6960000000000	-0.94053628199081
5.6980000000000	-0.96132493917586
5.7000000000000	-0.98256682281457
5.7020000000000	-1.0042711734252
5.7040000000000	-1.0264473756360
5.7060000000000	-1.0491049578659
5.7080000000000	-1.0722535918603
5.7100000000000	-1.0959030920793
5.7120000000000	-1.1200634149317
5.7140000000000	-1.1447446578502
5.7160000000000	-1.1699570582024
5.7180000000000	-1.1957109920330
5.7200000000000	-1.2220169726324
5.7220000000000	-1.2488856489271
5.7240000000000	-1.2763278036878
5.7260000000000	-1.3043543515505
5.7280000000000	-1.3329763368481
5.7300000000000	-1.3622049312474
5.7320000000000	-1.3920514311898
5.7340000000000	-1.4225272551319
5.7360000000000	-1.4536439405849
5.7380000000000	-1.4854131409496
5.7400000000000	-1.5178466221464
5.7420000000000	-1.5509562590397
5.7440000000000	-1.5847540316558
5.7460000000000	-1.6192520211954
5.7480000000000	-1.6544624058404
5.7500000000000	-1.6903974563586
5.7520000000000	-1.7270695315071
5.7540000000000	-1.7644910732382
5.7560000000000	-1.8026746017113
5.7580000000000	-1.8416327101170
5.7600000000000	-1.8813780593162
5.7620000000000	-1.9219233723041
5.7640000000000	-1.9632814285036
5.7660000000000	-2.0054650578979
5.7680000000000	-2.0484871350118
5.7700000000000	-2.0923605727505
5.7720000000000	-2.1370983161084
5.7740000000000	-2.1827133357602
5.7760000000000	-2.2292186215460
5.7780000000000	-2.2766271758667
5.7800000000000	-2.3249520070029
5.7820000000000	-2.3742061223748
5.7840000000000	-2.4244025217605
5.7860000000000	-2.4755541904889
5.7880000000000	-2.5276740926286
5.7900000000000	-2.5807751641916
5.7920000000000	-2.6348703063724
5.7940000000000	-2.6899723788455
5.7960000000000	-2.7460941931415
5.7980000000000	-2.8032485061279
5.8000000000000	-2.8614480136160
5.8020000000000	-2.9207053441202
5.8040000000000	-2.9810330527938
5.8060000000000	-3.0424436155671
5.8080000000000	-3.1049494235144
5.8100000000000	-3.1685627774757
5.8120000000000	-3.2332958829597
5.8140000000000	-3.2991608453558
5.8160000000000	-3.3661696654811
5.8180000000000	-3.4343342354899
5.8200000000000	-3.5036663351725
5.8220000000000	-3.5741776286700
5.8240000000000	-3.6458796616324
