"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
10.35,-25.5331955219104,-0.0153249384689651
10.3625,-25.5357040024151,-0.0151885264726627
10.375,-25.5386898280969,-0.0150516472370501
10.3875,-25.5421682349944,-0.0149145478666625
10.4,-25.5461555157371,-0.0147774874490118
10.4125,-25.5506691139284,-0.0146407373292711
10.425,-25.5557277286928,-0.0145045813874606
10.4375,-25.5613514306861,-0.0143693163179556
10.45,-25.5675617910579,-0.0142352519114968
10.4625,-25.574382025083,-0.0141027113394057
10.475,-25.5818371524422,-0.0139720314401425
10.4875,-25.5899541764444,-0.0138435630080716
10.5,-25.5987622848504,-0.0137176710844326
10.5125,-25.6082930753936,-0.0135947352503465
10.525,-25.6185808096086,-0.0134751499219559
10.5375,-25.6296626991978,-0.0133593246474563
10.55,-25.6415792299004,-0.01324768440617
10.5625,-25.6543745287127,-0.013140669909311
10.575,-25.6680967813767,-0.0130387379026373
10.5875,-25.6827987083388,-0.0129423614706795
10.6,-25.6985381089482,-0.0128520303426794
10.6125,-25.7153784855711,-0.0127682511998968
10.625,-25.7333897616359,-0.012691547984431
10.6375,-25.7526491105002,-0.012622462209319
10.65,-25.7732419155894,-0.0125615532698123
10.6625,-25.7952628866784,-0.0125093987557351
10.675,-25.8188173627146,-0.0124665947648985
10.6875,-25.8440228385265,-0.0124337562172426
10.7,-25.8710107615406,-0.0124115171698057
10.7125,-25.8999286557985,-0.0124005311322482
10.725,-25.9309426448653,-0.0124014713828216
10.7375,-25.9642404636551,-0.0124150312846242
10.75,-26.0000350731429,-0.0124419246020664
10.7625,-26.0385690232689,-0.0124828858172877
10.775,-26.0801197506911,-0.0125386704463804
10.7875,-26.1250060530889,-0.0126100553553539
10.8,-26.1735960556761,-0.0126978390754429
10.8125,-26.2263170859372,-0.0128028421178375
10.825,-26.2836680102232,-0.0129259072874064
10.8375,-26.3462347767275,-0.0130678999953274
10.85,-26.4147101773505,-0.0132297085704531
10.8625,-26.489919222171,-0.0134122445690175
