"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.65575,-30.4603497284167,-0.0142118502092134
1.658,-30.2994001317187,-0.0143671916295761
1.66025,-30.1405590728615,-0.0145261158740974
1.6625,-29.9837664526181,-0.0146886654117586
1.66475,-29.8289647735562,-0.0148548829087614
1.667,-29.6760989913245,-0.0150248112281789
1.66925,-29.5251163764213,-0.0151984934296409
1.6715,-29.3759663855715,-0.0153759727689729
1.67375,-29.2286005419214,-0.0155572926978695
1.676,-29.0829723233377,-0.0157424968635414
1.67825,-28.9390370581606,-0.0159316291083808
1.6805,-28.7967518278234,-0.0161247334695939
1.68275,-28.6560753758023,-0.0163218541788641
1.685,-28.5169680224098,-0.0165230356619822
1.68725,-28.3793915849872,-0.016728322538508
1.6895,-28.2433093030909,-0.0169377596213817
1.69175,-28.1086857683023,-0.0171513919165925
1.694,-27.9754868583231,-0.0173692646227708
1.69625,-27.8436796750446,-0.0175914231308522
1.6985,-27.7132324863085,-0.0178179130236852
1.70075,-27.5841146710969,-0.0180487800756577
1.703,-27.456296667913,-0.0182840702523084
1.70525,-27.329749926131,-0.018523829709956
1.7075,-27.204446860114,-0.018768104795295
1.70975,-27.080360805912,-0.0190169420450166
1.712,-26.9574659803672,-0.0192703881853964
1.71425,-26.8357374424695,-0.0195284901319139
1.7165,-26.7151510568139,-0.0197912949888254
1.71875,-26.5956834590236,-0.0200588500487777
1.721,-26.4773120230146,-0.0203312027923784
1.72325,-26.3600148299842,-0.0206084008877899
1.7255,-26.243770639016,-0.0208904921902923
1.72775,-26.1285588592005,-0.0211775247418849
1.73,-26.0143595231802,-0.0214695467708241
1.73225,-25.9011532620298,-0.0217666066912133
1.7345,-25.7889212813948,-0.0220687531025432
1.73675,-25.6776453388101,-0.0223760347892659
1.739,-25.5673077221323,-0.0226885007203289
1.74125,-25.4578912290178,-0.02300620004873
1.7435,-25.3493791473893,-0.0233291821110523
1.74575,-25.2417552368307,-0.0236574964270045
1.748,-25.1350037108613,-0.0239911926989351
1.75025,-25.0291092200373,-0.0243303208113795
1.7525,-24.9240568358357,-0.0246749308305602
1.75475,-24.8198320352771,-0.0250250730039065
1.757,-24.7164206862481,-0.0253807977595585
1.75925,-24.6138090334831,-0.0257421557058644
1.7615,-24.5119836851733,-0.0261091976308856
1.76375,-24.4109316001663,-0.0264819745018775
1.766,-24.3106400757279,-0.0268605374647686
1.76825,-24.2110967358348,-0.0272449378436506
1.7705,-24.1122895199719,-0.0276352271402298
1.77275,-24.014206672408,-0.0280314570332959
