"Freq [GHz]","dB(S(2,1)) []","dB(S(1,1)) []"
8.025,-0.052676218294865,-19.1878378687261
8.03,-0.0512795688925343,-19.3038037949391
8.035,-0.0498973574158845,-19.4217411430438
8.04,-0.0485297725298493,-19.5417087740097
8.045,-0.0471770030261705,-19.6637682784303
8.05,-0.045839237811187,-19.7879841480691
8.055,-0.0445166658935067,-19.9144239611026
8.06,-0.0432094763715554,-20.0431585823931
8.065,-0.0419178584210422,-20.1742623802785
8.07,-0.040642001282282,-20.3078134615433
8.075,-0.039382094247468,-20.4438939264299
8.08,-0.0381383266477825,-20.5825901457784
8.085,-0.0369108878404727,-20.7239930626396
8.09,-0.035699967195801,-20.8681985210026
8.095,-0.0345057540838975,-21.0153076246141
8.1,-0.0333284378615701,-21.165427129259
8.105,-0.0321682078589921,-21.3186698723163
8.11,-0.0310252533663296,-21.4751552439258
8.115,-0.0298997636202982,-21.6350097046966
8.12,-0.0287919277906343,-21.7983673555863
8.125,-0.0277019349665183,-21.9653705663914
8.13,-0.0266299741429192,-22.1361706702335
8.135,-0.0255762342068866,-22.3109287325371
8.14,-0.0245409039237857,-22.489816404298
8.145,-0.0235241719234758,-22.6730168709783
8.15,-0.0225262266864511,-22.8607259101853
8.155,-0.0215472565299231,-23.0531530734501
8.16,-0.0205874495938719,-23.2505230100027
8.165,-0.0196469938270523,-23.4530769535196
8.17,-0.0187260769729766,-23.6610743965329
8.175,-0.017824886555852,-23.8747949816614
8.18,-0.0169436098665136,-24.0945406442547
8.185,-0.0160824339483072,-24.3206380476542
8.19,-0.0152415455829874,-24.553441360375
8.195,-0.0144211312765672,-24.793335434488
8.2,-0.013621377245192,-25.0407394568221
8.205,-0.0128424694009621,-25.2961111599929
8.21,-0.0120845933378063,-25.5599516995212
8.215,-0.011347934317313,-25.8328113276205
8.22,-0.0106326772545836,-26.1152960251012
8.225,-0.00993900670409532,-26.4080752923497
8.23,-0.0092671068455785,-26.7118913513039
8.235,-0.0086171614699002,-27.0275700766314
8.24,-0.00798935396498017,-27.3560340613235
8.245,-0.00738386730173084,-27.698318337209
8.25,-0.00680088402000596,-28.0555894252839
8.255,-0.00624058621461838,-28.4291685997883
8.26,-0.00570315552136104,-28.8205605364414
8.265,-0.00518877310308123,-29.2314889130082
8.27,-0.00469761963579705,-29.663941090526
8.275,-0.0042298752948752,-30.1202248047244
8.28,-0.00378571974123694,-30.6030409627277
8.285,-0.00336533210763621,-31.1155783677885
8.29,-0.00296889098499809,-31.6616388091507
8.295,-0.0025965744088085,-32.2458050024715
8.3,-0.00224855984558848,-32.873670298915
8.305,-0.00192502417943162,-33.552159604327
8.31,-0.00162614369860299,-34.2899887447684
8.315,-0.00135209408225544,-35.098340772475
8.32,-0.00110305038718251,-35.9918950932595
8.325,-0.000879187034689645,-36.9904562802793
8.33,-0.000680677797552417,-38.121657862528
8.335,-0.000507695787061234,-39.4257236365408
8.34,-0.000360413440154064,-40.9645081131135
8.345,-0.000239002506683948,-42.8404627457858
8.35,-0.000143634036762002,-45.242383671967
8.355,-7.44783682226949E-05,-48.5818929489406
8.36,-3.17051141974178E-05,-54.0893157041971
8.365,-1.54831508132135E-05,-72.1024829130569
8.37,-2.59806049969007E-05,-56.2235778543309
8.375,-6.33648424245981E-05,-49.6209682930377
